omics_type,pool_name,sample_id,effective_reads,median_effective_reads,effective_reads_to_reach_median,raw_reads_needed,raw_reads_to_sequence,scaling_factor,total_effective_reads_expected_after_resequencing,proportion_within_pool,proportion_across_omics
RNA-seq,RNA-seq,35_ZI_6_3,30394462,30991180,596718,7410117,11881291,1.6034,31351232,0.0103,0.0024
RNA-seq,RNA-seq,36_FR_6_3,30660303,30991180,330876,4180789,6703425,1.6034,31190826,0.0058,0.0013
sRNA-seq,sRNA-seq,34_FR_5_3,4303689,10663423,6359734,252283242,404507858,1.6034,14500809,0.165,0.0809
sRNA-seq,sRNA-seq,32_FR_4_3,4320353,10663423,6343070,327634737,525325521,1.6034,14490754,0.2142,0.1051
sRNA-seq,sRNA-seq,26_FR_1_3,6265703,10663423,4397720,143760856,230504394,1.6034,13316953,0.094,0.0461
sRNA-seq,sRNA-seq,25_ZI_1_3,6418767,10663423,4244656,123175294,197497756,1.6034,13224596,0.0805,0.0395
sRNA-seq,sRNA-seq,22_FR_5_2,6605766,10663423,4057657,99146555,158970371,1.6034,13111764,0.0648,0.0318
sRNA-seq,sRNA-seq,19_ZI_4_2,7110078,10663423,3553345,78827760,126391464,1.6034,12807468,0.0515,0.0253
sRNA-seq,sRNA-seq,21_ZI_5_2,7389999,10663423,3273424,79989660,128254440,1.6034,12638567,0.0523,0.0257
sRNA-seq,sRNA-seq,13_ZI_1_2,7531470,10663423,3131953,84416013,135351601,1.6034,12553205,0.0552,0.0271
sRNA-seq,sRNA-seq,15_ZI_2_2,8049877,10663423,2613546,60728814,97371836,1.6034,12240405,0.0397,0.0195
sRNA-seq,sRNA-seq,17_ZI_3_2,8106412,10663423,2557011,58052455,93080594,1.6034,12206292,0.038,0.0186
sRNA-seq,sRNA-seq,33_ZI_5_3,8811155,10663423,1852268,47313766,75862312,1.6034,11781059,0.0309,0.0152
sRNA-seq,sRNA-seq,14_FR_1_2,8928717,10663423,1734706,42518692,68173949,1.6034,11710123,0.0278,0.0136
sRNA-seq,sRNA-seq,31_ZI_4_3,8933807,10663423,1729616,41744564,66932722,1.6034,11707052,0.0273,0.0134
sRNA-seq,sRNA-seq,28_FR_2_3,8964492,10663423,1698931,44537726,71411244,1.6034,11688537,0.0291,0.0143
sRNA-seq,sRNA-seq,18_FR_3_2,9409817,10663423,1253606,23511099,37697408,1.6034,11419833,0.0154,0.0075
sRNA-seq,sRNA-seq,2_FR_1_1,9645316,10663423,1018107,21802388,34957682,1.6034,11277736,0.0143,0.007
