omics_type,pool_name,sample_id,effective_reads,median_effective_reads,effective_reads_to_reach_median,raw_reads_needed,raw_reads_to_sequence,scaling_factor,total_effective_reads_expected_after_resequencing,proportion_within_pool,proportion_across_omics
ATAC-seq,ATAC-seq_1,31_ZI_4_3,0,17302417,17302417,163221133,261706764,1.6034,27742483,1.0,0.0523
ATAC-seq,ATAC-seq_2,22_FR_5_2,8519289,17302417,8783128,81066306,129980721,1.6034,22602049,0.1145,0.026
ATAC-seq,ATAC-seq_2,10_FR_5_1,11020985,17302417,6281432,227907089,365423432,1.6034,21092556,0.3218,0.0731
ATAC-seq,ATAC-seq_2,17_ZI_3_2,11617975,17302417,5684442,76306812,122349406,1.6034,20732340,0.1078,0.0245
ATAC-seq,ATAC-seq_2,9_ZI_5_1,11674695,17302417,5627722,68101257,109192721,1.6034,20698115,0.0962,0.0218
ATAC-seq,ATAC-seq_2,11_ZI_6_1,13556469,17302417,3745948,44264656,70973407,1.6034,19562676,0.0625,0.0142
ATAC-seq,ATAC-seq_2,6_FR_3_1,13824691,17302417,3477726,34068564,54625117,1.6034,19400834,0.0481,0.0109
ATAC-seq,ATAC-seq_2,21_ZI_5_2,13856724,17302417,3445693,37319108,59837000,1.6034,19381506,0.0527,0.012
ATAC-seq,ATAC-seq_2,28_FR_2_3,13870991,17302417,3431426,34703827,55643691,1.6034,19372897,0.049,0.0111
ATAC-seq,ATAC-seq_2,14_FR_1_2,14763695,17302417,2538722,37538318,60188479,1.6034,18834251,0.053,0.012
ATAC-seq,ATAC-seq_2,15_ZI_2_2,15200246,17302417,2102171,17726846,28423007,1.6034,18570841,0.025,0.0057
ATAC-seq,ATAC-seq_2,7_ZI_4_1,15299219,17302417,2003198,16759734,26872351,1.6034,18511122,0.0237,0.0054
ATAC-seq,ATAC-seq_2,1_ZI_1_1,15467289,17302417,1835128,19411149,31123598,1.6034,18409711,0.0274,0.0062
ATAC-seq,ATAC-seq_2,16_FR_2_2,16278193,17302417,1024224,8469198,13579408,1.6034,17920421,0.012,0.0027
ATAC-seq,ATAC-seq_2,2_FR_1_1,16758912,17302417,543505,4488357,7196576,1.6034,17630361,0.0063,0.0014
RNA-seq,RNA-seq,32_FR_4_3,22028086,30991180,8963094,106739193,171144313,1.6034,36399400,0.1487,0.0342
RNA-seq,RNA-seq,10_FR_5_1,22260586,30991180,8730594,111854600,179346295,1.6034,36259113,0.1559,0.0359
RNA-seq,RNA-seq,13_ZI_1_2,24909064,30991180,6082116,79885315,128087134,1.6034,34661053,0.1113,0.0256
RNA-seq,RNA-seq,22_FR_5_2,25323229,30991180,5667950,67299495,107907185,1.6034,34411151,0.0938,0.0216
RNA-seq,RNA-seq,34_FR_5_3,25538765,30991180,5452414,71709918,114978803,1.6034,34281100,0.0999,0.023
RNA-seq,RNA-seq,24_FR_6_2,25751283,30991180,5239896,63961413,102554945,1.6034,34152869,0.0891,0.0205
RNA-seq,RNA-seq,31_ZI_4_3,26411779,30991180,4579400,60206449,96534282,1.6034,33754334,0.0839,0.0193
RNA-seq,RNA-seq,19_ZI_4_2,27189166,30991180,3802014,44761406,71769890,1.6034,33285268,0.0624,0.0144
RNA-seq,RNA-seq,33_ZI_5_3,28556677,30991180,2434502,29037895,46559006,1.6034,32460128,0.0405,0.0093
RNA-seq,RNA-seq,12_FR_6_1,29039764,30991180,1951416,22471583,36030661,1.6034,32168640,0.0313,0.0072
RNA-seq,RNA-seq,21_ZI_5_2,29600948,30991180,1390232,15391255,24678149,1.6034,31830028,0.0214,0.0049
RNA-seq,RNA-seq,25_ZI_1_3,29865120,30991180,1126060,14799599,23729495,1.6034,31670630,0.0206,0.0047
RNA-seq,RNA-seq,15_ZI_2_2,30253615,30991180,737564,8232378,13199695,1.6034,31436217,0.0115,0.0026
RNA-seq,RNA-seq,28_FR_2_3,30276472,30991180,714708,9659922,15488601,1.6034,31422425,0.0135,0.0031
